arrow,image,q_or_r
up,images/up.jpg,Rate your ability to control your brain
up,images/up.jpg,Rate your ability to control your brain
down,images/down.jpg,Rate your ability to control your brain
up,images/up.jpg,Rate your ability to control your brain
down,images/down.jpg,Rate your ability to control your brain
down,images/down.jpg,Rate your ability to control your brain
